hour_of_day,day_of_week,district_type,lighting,cctv_density,population_density,historical_incidents,road_type,danger_level
17,2,1,0.903,0.64,0.734,0,3,1
1,3,2,0.0,0.198,0.0,6,0,8
11,1,0,0.935,0.731,0.638,6,1,1
9,4,2,0.637,0.045,0.324,28,3,6
22,2,2,0.149,0.132,0.394,28,3,7
7,5,0,0.837,0.869,0.75,9,0,2
21,1,4,0.06,0.089,0.401,2,1,6
4,4,1,0.477,0.246,0.287,9,3,5
17,2,0,1.0,0.961,0.734,18,0,1
16,5,1,0.819,0.417,0.356,2,3,2
22,1,2,0.136,0.007,0.212,33,3,8
2,3,2,0.113,0.415,0.0,25,3,9
5,3,2,0.003,0.0,0.0,31,1,8
3,2,2,0.239,0.337,0.0,11,1,8
5,0,2,0.119,0.0,0.0,26,0,8
13,2,3,0.559,0.367,0.88,14,3,4
13,4,0,1.0,0.82,0.644,24,0,2
6,0,1,0.852,0.524,0.512,24,1,4
7,2,1,0.724,0.471,0.729,0,2,3
13,5,3,0.544,0.291,0.717,27,0,4
20,1,0,0.894,0.54,0.604,27,2,3
6,3,1,0.746,0.206,0.721,15,2,4
6,3,4,0.601,0.0,0.18,1,2,5
2,6,1,0.222,0.061,0.065,11,1,8
7,1,2,0.518,0.129,0.35,30,2,7
0,5,2,0.086,0.077,0.0,33,0,10
5,5,2,0.148,0.433,0.0,29,1,7
11,1,0,0.935,0.731,0.638,6,1,1
18,3,1,0.834,0.313,0.561,3,1,3
3,5,2,0.055,0.125,0.0,44,0,10
2,4,2,0.0,0.0,0.039,21,2,9
0,3,2,0.035,0.0,0.0,24,2,9
14,6,0,0.982,1.0,0.645,22,1,1
0,0,3,0.355,0.151,0.522,15,3,6
18,0,3,0.713,0.491,1.0,23,2,4
23,3,4,0.0,0.329,0.28,6,3,7
0,6,3,0.274,0.395,0.608,19,2,7
3,1,2,0.0,0.22,0.0,28,3,9
15,0,0,0.914,0.884,0.45,11,0,1
18,5,0,0.732,0.896,0.852,18,3,2
18,1,3,0.673,0.253,1.0,8,0,4
2,2,2,0.085,0.134,0.105,27,1,9
13,0,0,1.0,0.786,0.713,13,2,1
2,3,1,0.302,0.22,0.166,4,1,6
23,6,3,0.127,0.421,0.701,14,3,6
8,4,0,0.894,0.777,0.794,6,0,2
8,6,2,0.661,0.256,0.332,20,0,6
21,4,2,0.066,0.194,0.185,24,0,8
15,3,0,0.834,0.85,0.609,7,3,1
16,3,0,0.912,0.767,0.532,0,3,1
16,0,1,0.777,0.451,0.474,1,2,2
16,2,0,0.927,0.817,0.623,3,0,1
17,0,2,0.501,0.124,0.359,28,0,5
1,3,4,0.049,0.0,0.152,0,2,8
1,2,2,0.246,0.237,0.0,18,3,9
1,4,1,0.177,0.398,0.296,20,3,5
10,0,2,0.653,0.057,0.133,14,1,6
9,1,4,0.501,0.0,0.301,0,0,4
17,2,2,0.682,0.0,0.426,31,3,6
15,3,0,0.848,0.634,0.559,9,2,2
14,3,0,0.75,0.708,0.567,16,1,2
2,6,1,0.322,0.354,0.371,11,3,6
15,2,4,0.375,0.049,0.22,4,2,3
11,4,0,0.846,0.829,0.536,4,1,2
8,0,0,0.899,0.699,0.721,8,2,2
18,4,2,0.787,0.328,0.54,13,0,5
17,2,0,1.0,0.646,0.819,17,0,2
5,3,4,0.033,0.238,0.0,6,0,7
14,3,0,0.965,0.793,0.67,11,3,1
2,1,2,0.312,0.185,0.0,13,1,7
21,5,2,0.29,0.25,0.301,17,1,7
18,0,1,0.656,0.642,0.785,1,0,3
23,0,3,0.228,0.428,0.86,21,1,6
1,6,4,0.0,0.145,0.0,5,2,8
7,6,0,0.775,0.469,0.87,10,1,3
2,3,2,0.113,0.415,0.0,25,3,9
23,5,4,0.083,0.242,0.442,7,0,7
23,5,1,0.477,0.337,0.577,13,2,5
2,6,2,0.226,0.465,0.0,42,3,10
7,0,1,0.845,0.178,0.518,14,2,4
21,4,1,0.491,0.055,0.575,7,0,5
5,0,4,0.01,0.069,0.0,13,3,8
23,5,3,0.152,0.291,0.762,10,0,6
7,1,4,0.359,0.169,0.525,6,2,4
17,3,0,0.898,0.772,0.794,6,2,1
7,2,0,1.0,0.994,0.782,5,3,2
2,5,1,0.19,0.601,0.248,3,0,6
7,1,3,0.843,0.126,0.997,31,1,5
19,5,2,0.628,0.093,0.42,28,2,6
0,2,4,0.0,0.136,0.013,6,0,8
3,5,2,0.055,0.125,0.0,44,0,10
17,3,0,0.898,0.772,0.794,6,2,1
7,2,0,1.0,0.93,0.7,8,3,2
0,0,2,0.102,0.283,0.001,36,3,10
17,3,0,1.0,0.676,0.719,0,0,1
9,5,1,0.928,0.248,0.438,4,1,3
0,5,2,0.086,0.077,0.0,33,0,10
18,2,2,0.576,0.315,0.486,29,0,6
1,2,1,0.297,0.529,0.226,0,3,5
15,0,0,0.914,0.884,0.45,11,0,1
3,6,2,0.217,0.0,0.0,29,3,10
7,5,2,0.504,0.11,0.081,23,3,8
9,1,2,0.788,0.292,0.448,24,1,5
19,6,2,0.728,0.067,0.406,29,1,6
2,2,2,0.199,0.185,0.0,7,3,8
22,4,1,0.4,0.594,0.465,15,3,4
18,2,4,0.534,0.279,0.459,0,0,3
4,4,2,0.1,0.0,0.0,36,3,10
17,3,0,1.0,0.794,0.82,15,3,1
17,2,0,1.0,0.961,0.734,18,0,1
1,2,1,0.424,0.261,0.165,20,2,7
21,0,1,0.299,0.347,0.487,0,3,5
19,5,2,0.638,0.011,0.317,39,0,6
16,0,1,0.816,0.6,0.636,17,0,2
19,1,2,0.542,0.244,0.526,29,0,6
20,4,4,0.454,0.005,0.389,25,1,5
3,5,2,0.055,0.125,0.0,44,0,10
0,4,0,0.318,0.536,0.386,17,0,5
20,1,4,0.285,0.109,0.337,0,2,4
8,5,1,0.939,0.567,0.648,19,2,3
22,2,4,0.0,0.091,0.356,7,3,7
15,3,0,0.834,0.85,0.609,7,3,1
16,0,2,0.658,0.256,0.096,29,0,6
14,3,0,0.965,0.793,0.67,11,3,1
4,6,4,0.0,0.076,0.029,0,0,7
21,4,1,0.264,0.121,0.499,24,3,6
8,2,1,0.745,0.294,0.592,12,1,3
0,6,2,0.164,0.061,0.0,18,3,10
21,4,4,0.062,0.078,0.189,2,0,7
1,6,1,0.317,0.0,0.08,8,0,8
10,0,0,0.888,0.546,0.783,13,0,2
7,1,2,0.527,0.307,0.393,29,3,7
13,0,3,0.67,0.44,0.739,26,3,4
17,3,2,0.564,0.039,0.426,25,3,6
19,2,1,0.738,0.336,0.727,13,0,4
10,6,4,0.363,0.288,0.245,0,3,2
17,2,0,0.841,0.611,0.936,25,0,2
19,3,0,0.855,1.0,0.892,5,3,2
0,6,2,0.164,0.061,0.0,18,3,10
15,4,2,0.598,0.062,0.128,11,1,5
11,2,4,0.474,0.0,0.233,3,0,3
16,0,2,0.613,0.0,0.291,23,2,6
19,4,0,0.947,0.799,0.875,3,2,1
5,5,1,0.189,0.0,0.262,4,2,5
14,3,0,0.965,0.793,0.67,11,3,1
0,3,2,0.035,0.0,0.0,24,2,9
10,1,4,0.432,0.142,0.404,0,0,3
17,3,2,0.626,0.013,0.463,26,1,5
23,1,1,0.265,0.399,0.478,6,2,4
14,5,0,0.917,0.586,0.652,17,0,2
20,0,1,0.834,0.176,0.44,8,3,4
2,3,4,0.018,0.0,0.051,0,0,8
5,5,2,0.051,0.397,0.0,30,0,8
23,3,4,0.007,0.082,0.338,6,1,6
2,6,2,0.0,0.238,0.0,33,3,10
0,5,2,0.086,0.077,0.0,33,0,10
13,0,0,0.757,0.661,0.492,7,1,2
11,3,0,0.99,0.987,0.47,17,3,1
20,3,1,0.973,0.125,0.499,24,2,5
16,1,2,0.676,0.224,0.156,21,2,6
0,2,1,0.54,0.346,0.103,11,1,6
14,0,4,0.35,0.261,0.211,9,0,3
13,0,0,0.841,0.706,0.8,0,0,1
7,5,3,0.762,0.339,0.913,18,1,4
17,3,2,0.574,0.383,0.499,32,2,5
5,4,1,0.319,0.43,0.27,24,2,4
22,6,1,0.495,0.373,0.479,7,2,5
5,1,2,0.091,0.0,0.0,23,0,8
5,4,1,0.261,0.283,0.167,7,3,6
11,2,1,0.813,0.361,0.609,3,2,2
11,3,0,1.0,0.8,0.522,14,0,2
23,0,4,0.0,0.111,0.245,11,1,7
17,2,1,0.903,0.64,0.734,0,3,1
0,6,1,0.336,0.594,0.193,11,3,7
8,3,0,1.0,0.793,0.697,12,1,2
8,2,0,0.774,0.817,0.612,17,1,2
4,3,2,0.0,0.315,0.0,24,3,10
1,6,2,0.039,0.111,0.0,34,0,10
4,4,2,0.1,0.0,0.0,36,3,10
18,3,2,0.627,0.0,0.27,28,1,6
7,3,1,0.861,0.42,0.676,4,2,3
9,5,4,0.333,0.208,0.304,0,2,4
2,2,2,0.0,0.275,0.0,33,2,9
22,2,3,0.317,0.499,0.775,22,2,6
3,3,4,0.0,0.161,0.0,0,1,8
0,0,2,0.102,0.283,0.001,36,3,10
5,2,4,0.0,0.104,0.063,26,2,8
0,5,2,0.086,0.077,0.0,33,0,10
12,6,2,0.663,0.407,0.128,10,0,6
9,6,2,0.582,0.0,0.225,45,3,7
9,2,2,0.655,0.089,0.088,35,0,7
1,6,1,0.317,0.0,0.08,8,0,8
17,5,0,0.793,0.73,0.719,0,2,1
17,5,0,0.793,0.73,0.719,0,2,1
12,5,2,0.713,0.054,0.167,29,0,6
12,5,3,0.639,0.458,0.787,24,1,4
22,3,3,0.365,0.117,0.958,14,1,6
1,0,2,0.065,0.118,0.0,42,2,9
19,6,1,0.746,0.338,0.829,0,1,3
1,3,4,0.0,0.0,0.0,12,2,8
7,4,1,0.746,0.608,0.554,4,1,3
19,2,0,0.933,0.819,0.891,13,1,2
11,6,1,0.849,0.2,0.471,13,2,3
13,5,0,0.921,0.847,0.81,9,3,1
17,2,0,1.0,0.961,0.734,18,0,1
1,2,2,0.246,0.237,0.0,18,3,9
20,5,1,0.985,0.297,0.45,0,0,4
2,1,2,0.0,0.178,0.0,24,0,8
19,1,2,0.672,0.341,0.317,43,2,6
0,2,4,0.048,0.137,0.0,12,2,9
0,3,2,0.035,0.0,0.0,24,2,9
9,2,2,0.645,0.09,0.393,13,3,6
3,5,2,0.168,0.0,0.0,12,3,10
17,3,0,0.898,0.772,0.794,6,2,1
15,6,0,0.819,0.711,0.736,21,3,2
22,6,2,0.114,0.21,0.145,41,3,10
3,3,4,0.072,0.012,0.031,7,2,8
2,0,4,0.027,0.513,0.112,13,2,7
0,4,1,0.271,0.343,0.068,23,0,7
5,6,2,0.0,0.259,0.0,15,2,7
2,6,2,0.226,0.465,0.0,42,3,10
7,6,2,0.546,0.002,0.291,31,1,7
19,1,1,0.92,0.572,0.738,2,3,2
2,5,2,0.25,0.32,0.0,29,3,10
4,1,3,0.235,0.506,0.67,27,0,6
20,2,4,0.326,0.157,0.485,17,2,5
3,5,2,0.055,0.125,0.0,44,0,10
4,4,2,0.1,0.0,0.0,36,3,10
8,1,1,0.813,0.095,0.531,7,2,3
13,3,1,0.869,0.461,0.401,5,3,3
6,6,1,0.657,0.415,0.537,0,2,3
2,5,2,0.25,0.32,0.0,29,3,10
6,1,1,0.769,0.247,0.681,8,0,3
0,5,2,0.086,0.077,0.0,33,0,10
21,4,4,0.139,0.378,0.318,17,2,6
8,0,2,0.601,0.086,0.373,32,1,6
4,5,1,0.195,0.467,0.2,8,1,6
13,5,0,0.921,0.847,0.81,9,3,1
1,0,2,0.065,0.118,0.0,42,2,9
4,4,0,0.257,0.664,0.352,4,2,5
18,4,0,0.95,0.469,0.724,6,0,3
22,2,1,0.083,0.581,0.477,3,3,5
16,3,1,0.679,0.13,0.719,7,0,2
3,5,2,0.055,0.125,0.0,44,0,10
3,0,0,0.371,0.739,0.351,21,3,5
21,6,1,0.038,0.646,0.557,8,0,5
1,5,2,0.093,0.26,0.042,21,3,9
4,0,1,0.222,0.338,0.17,14,1,7
15,2,2,0.6,0.0,0.166,19,0,6
8,1,4,0.538,0.066,0.289,11,2,4
1,4,4,0.0,0.0,0.0,3,2,8
1,6,1,0.314,0.15,0.18,8,1,7
23,6,0,0.274,0.575,0.612,6,3,4
0,0,2,0.102,0.283,0.001,36,3,10
3,5,2,0.168,0.0,0.0,12,3,10
1,3,1,0.487,0.423,0.387,0,3,5
14,6,1,0.838,0.294,0.526,9,0,2
0,5,3,0.122,0.598,0.422,21,3,8
23,1,4,0.0,0.206,0.458,0,2,6
12,4,1,0.755,0.598,0.526,0,3,2
3,3,4,0.015,0.057,0.0,0,2,8
7,6,0,0.918,0.666,0.671,18,1,3
3,5,2,0.055,0.125,0.0,44,0,10
18,1,0,0.876,0.562,0.755,1,3,2
8,4,0,0.756,0.858,0.865,12,3,2
16,5,1,0.639,0.385,0.675,24,1,2
19,2,2,0.605,0.145,0.35,34,2,6
19,0,0,0.874,0.775,0.633,7,3,2
22,5,1,0.354,0.505,0.593,1,2,5
13,1,1,0.767,0.475,0.649,0,3,2
12,3,4,0.27,0.168,0.223,0,3,3
17,1,1,0.933,0.515,0.682,5,2,2
8,1,3,0.592,0.418,0.923,21,1,4
7,2,2,0.421,0.234,0.215,13,0,5
23,2,0,0.543,0.567,0.568,30,0,5
5,1,2,0.041,0.227,0.053,28,0,8
1,6,2,0.039,0.111,0.0,34,0,10
