hour_of_day,day_of_week,district_type,lighting,cctv_density,population_density,historical_incidents,road_type,danger_level
23,0,0,0.398,0.774,0.277,22,0,6
10,1,1,0.609,0.478,0.347,16,1,3
7,0,1,0.53,0.588,0.643,18,2,5
20,1,0,1.0,0.507,0.49,28,0,3
19,3,2,0.362,0.41,0.416,75,3,10
9,0,1,0.623,0.282,0.676,10,2,5
8,5,1,0.472,0.0,0.792,26,2,5
10,1,1,0.549,0.602,0.628,5,1,2
14,5,0,0.756,0.716,0.54,8,0,1
5,5,0,0.258,0.815,0.038,3,0,6
13,1,1,0.547,0.408,0.502,26,0,3
12,5,2,0.175,0.108,0.317,17,2,8
19,5,0,0.832,0.685,1.0,25,1,3
12,5,0,0.863,0.654,0.646,3,0,1
6,1,2,0.313,0.018,0.438,37,1,9
21,4,1,0.285,0.081,0.453,13,1,6
19,6,1,0.548,0.234,0.763,16,1,5
15,5,2,0.381,0.286,0.298,29,3,7
3,1,1,0.032,0.611,0.216,12,1,8
11,0,2,0.295,0.278,0.315,44,3,8
8,6,2,0.445,0.451,0.536,54,2,6
0,3,1,0.0,0.387,0.191,22,2,9
0,2,1,0.489,0.477,0.198,27,1,7
1,1,2,0.198,0.412,0.188,38,2,10
9,6,2,0.333,0.209,0.421,37,3,9
10,2,2,0.357,0.142,0.182,26,1,8
17,3,0,0.793,0.718,0.825,19,0,1
18,6,1,0.496,0.246,0.664,7,1,6
12,6,1,0.563,0.281,0.568,16,2,4
17,0,2,0.34,0.162,0.736,45,1,7
11,2,1,0.468,0.581,0.723,30,0,2
9,1,1,0.649,0.214,0.632,18,1,6
14,3,1,0.513,0.486,0.426,1,1,3
8,5,2,0.285,0.56,0.368,45,3,7
14,3,1,0.595,0.492,0.721,2,2,2
18,0,1,0.569,0.162,0.608,35,1,5
15,3,1,0.5,0.139,0.502,18,0,5
13,3,1,0.662,0.483,0.531,29,1,4
23,0,2,0.074,0.09,0.104,51,1,10
12,0,2,0.366,0.205,0.394,23,1,8
2,4,0,0.337,0.91,0.223,8,1,6
15,5,1,0.698,0.441,0.577,8,2,3
7,6,1,0.552,0.341,0.649,31,1,4
14,3,1,0.609,0.216,0.282,16,2,5
5,4,0,0.115,0.698,0.046,13,0,5
5,5,2,0.0,0.47,0.195,53,2,9
18,4,1,0.577,0.375,0.665,38,1,4
21,6,0,0.271,0.73,0.728,20,0,3
16,2,2,0.137,0.055,0.236,27,3,8
16,5,0,0.791,0.654,0.525,0,0,2
6,5,2,0.471,0.422,0.379,22,3,6
12,4,0,0.995,1.0,0.607,11,0,1
16,1,0,1.0,0.952,0.422,8,0,2
7,5,1,0.596,0.639,0.7,0,0,4
11,2,1,0.647,0.442,0.666,3,0,2
21,2,2,0.029,0.043,0.272,48,1,9
11,2,0,0.618,0.599,0.519,3,1,1
13,0,2,0.281,0.346,0.345,37,3,6
7,2,2,0.329,0.129,0.47,37,1,8
14,3,0,0.816,0.753,0.605,10,1,1
18,6,1,0.594,0.419,0.666,11,0,4
20,1,0,0.824,0.506,0.589,15,0,2
6,4,2,0.114,0.245,0.237,34,3,8
18,0,0,0.793,0.691,0.755,2,1,2
1,5,2,0.0,0.0,0.112,33,3,10
16,6,1,0.672,0.254,0.381,39,1,5
13,6,2,0.082,0.248,0.332,26,2,7
20,0,0,0.642,0.921,0.637,18,1,3
2,0,0,0.356,0.968,0.113,20,1,7
12,6,2,0.149,0.454,0.223,49,3,8
15,5,1,0.576,0.598,0.564,8,2,3
7,5,2,0.276,0.038,0.599,55,3,8
16,0,0,0.806,0.505,0.595,9,0,2
19,5,2,0.178,0.183,0.357,50,2,10
20,5,1,0.645,0.403,0.547,17,2,4
13,1,1,0.566,0.366,0.581,23,0,3
8,1,2,0.128,0.091,0.37,25,2,9
5,4,0,0.232,0.494,0.247,2,1,5
20,4,1,0.75,0.396,0.347,40,0,4
17,5,1,0.591,0.451,0.746,29,2,3
18,4,2,0.31,0.157,0.518,25,1,8
10,2,0,0.697,0.869,0.603,4,0,1
12,3,2,0.507,0.204,0.274,23,3,6
12,3,2,0.228,0.068,0.315,49,3,7
12,1,0,0.654,0.503,0.48,7,0,1
4,5,1,0.157,0.137,0.252,24,0,9
19,5,0,0.711,0.646,0.88,27,1,3
17,4,0,0.813,0.824,0.794,2,0,1
23,1,1,0.213,0.362,0.114,6,0,7
10,4,0,0.907,0.65,0.711,13,0,1
1,5,1,0.0,0.82,0.17,25,0,8
21,2,1,0.036,0.242,0.408,28,2,6
16,2,0,0.863,0.7,0.634,16,0,1
3,0,1,0.304,0.3,0.244,12,2,8
5,2,0,0.196,0.758,0.0,8,0,6
8,6,1,0.589,0.367,0.756,21,2,4
16,1,1,0.552,0.514,0.559,16,0,3
11,0,0,0.797,0.823,0.513,2,1,2
17,1,1,0.652,0.407,0.511,17,2,3
18,5,0,0.794,0.708,0.851,3,0,2
13,5,1,0.457,0.327,0.41,7,2,3
11,1,2,0.517,0.134,0.27,28,1,6
10,5,2,0.225,0.221,0.449,26,1,7
5,3,2,0.078,0.212,0.191,33,1,10
8,4,1,0.703,0.123,0.662,15,2,6
13,5,0,0.692,0.666,0.636,23,0,1
9,0,0,0.927,0.606,0.736,15,1,3
19,4,0,0.791,0.769,0.805,23,0,2
10,3,0,0.831,0.805,0.629,9,0,1
15,4,1,0.298,0.341,0.534,24,1,5
22,4,1,0.128,0.518,0.213,32,2,7
